source_events_file,subject_id,study_year,task_bids,task,event_rows,trial_pairs,pair_errors
sub-P01/ses-01/eeg/sub-P01_ses-01_task-phonemes_events.tsv,P01,2019,phonemes,phonemes,952,476,0
sub-P02/ses-01/eeg/sub-P02_ses-01_task-phonemes_events.tsv,P02,2019,phonemes,phonemes,958,479,0
sub-P03/ses-01/eeg/sub-P03_ses-01_task-phonemes_events.tsv,P03,2019,phonemes,phonemes,954,477,0
sub-P04/ses-01/eeg/sub-P04_ses-01_task-phonemes_events.tsv,P04,2019,phonemes,phonemes,878,439,0
sub-P05/ses-01/eeg/sub-P05_ses-01_task-phonemes_events.tsv,P05,2019,phonemes,phonemes,922,461,0
sub-P06/ses-01/eeg/sub-P06_ses-01_task-phonemes_events.tsv,P06,2019,phonemes,phonemes,948,474,0
sub-P07/ses-01/eeg/sub-P07_ses-01_task-phonemes_events.tsv,P07,2019,phonemes,phonemes,950,475,0
sub-P08/ses-01/eeg/sub-P08_ses-01_task-phonemes_events.tsv,P08,2019,phonemes,phonemes,922,461,0
sub-S01/ses-02/eeg/sub-S01_ses-02_task-Words_events.tsv,S01,2021,Words,Words,240,120,0
sub-S01/ses-02/eeg/sub-S01_ses-02_task-phonemes_events.tsv,S01,2021,phonemes,phonemes,480,240,0
sub-S01/ses-02/eeg/sub-S01_ses-02_task-singlephoneme_events.tsv,S01,2021,singlephoneme,single-phoneme,220,110,0
sub-S02/ses-02/eeg/sub-S02_ses-02_task-Words_events.tsv,S02,2021,Words,Words,426,213,0
sub-S02/ses-02/eeg/sub-S02_ses-02_task-phonemes_events.tsv,S02,2021,phonemes,phonemes,480,240,0
sub-S02/ses-02/eeg/sub-S02_ses-02_task-singlephoneme_events.tsv,S02,2021,singlephoneme,single-phoneme,440,220,0
sub-S03/ses-02/eeg/sub-S03_ses-02_task-Words_events.tsv,S03,2021,Words,Words,480,240,0
sub-S03/ses-02/eeg/sub-S03_ses-02_task-phonemes_events.tsv,S03,2021,phonemes,phonemes,480,240,0
sub-S03/ses-02/eeg/sub-S03_ses-02_task-singlephoneme_events.tsv,S03,2021,singlephoneme,single-phoneme,440,220,0
sub-S04/ses-02/eeg/sub-S04_ses-02_task-Words_events.tsv,S04,2021,Words,Words,480,240,0
sub-S04/ses-02/eeg/sub-S04_ses-02_task-phonemes_events.tsv,S04,2021,phonemes,phonemes,480,240,0
sub-S04/ses-02/eeg/sub-S04_ses-02_task-singlephoneme_events.tsv,S04,2021,singlephoneme,single-phoneme,440,220,0
sub-S05/ses-02/eeg/sub-S05_ses-02_task-Words_events.tsv,S05,2021,Words,Words,480,240,0
sub-S05/ses-02/eeg/sub-S05_ses-02_task-phonemes_events.tsv,S05,2021,phonemes,phonemes,480,240,0
sub-S05/ses-02/eeg/sub-S05_ses-02_task-singlephoneme_events.tsv,S05,2021,singlephoneme,single-phoneme,440,220,0
sub-S06/ses-02/eeg/sub-S06_ses-02_task-Words_events.tsv,S06,2021,Words,Words,480,240,0
sub-S06/ses-02/eeg/sub-S06_ses-02_task-phonemes_events.tsv,S06,2021,phonemes,phonemes,480,240,0
sub-S06/ses-02/eeg/sub-S06_ses-02_task-singlephoneme_events.tsv,S06,2021,singlephoneme,single-phoneme,440,220,0
sub-S07/ses-02/eeg/sub-S07_ses-02_task-Words_events.tsv,S07,2021,Words,Words,480,240,0
sub-S07/ses-02/eeg/sub-S07_ses-02_task-phonemes_events.tsv,S07,2021,phonemes,phonemes,480,240,0
sub-S07/ses-02/eeg/sub-S07_ses-02_task-singlephoneme_events.tsv,S07,2021,singlephoneme,single-phoneme,440,220,0
sub-S08/ses-02/eeg/sub-S08_ses-02_task-Words_events.tsv,S08,2021,Words,Words,480,240,0
sub-S08/ses-02/eeg/sub-S08_ses-02_task-phonemes_events.tsv,S08,2021,phonemes,phonemes,480,240,0
sub-S08/ses-02/eeg/sub-S08_ses-02_task-singlephoneme_events.tsv,S08,2021,singlephoneme,single-phoneme,440,220,0
sub-S09/ses-02/eeg/sub-S09_ses-02_task-Words_events.tsv,S09,2021,Words,Words,480,240,0
sub-S09/ses-02/eeg/sub-S09_ses-02_task-phonemes_events.tsv,S09,2021,phonemes,phonemes,480,240,0
sub-S09/ses-02/eeg/sub-S09_ses-02_task-singlephoneme_events.tsv,S09,2021,singlephoneme,single-phoneme,440,220,0
sub-S10/ses-02/eeg/sub-S10_ses-02_task-Words_events.tsv,S10,2021,Words,Words,480,240,0
sub-S10/ses-02/eeg/sub-S10_ses-02_task-phonemes_events.tsv,S10,2021,phonemes,phonemes,480,240,0
sub-S10/ses-02/eeg/sub-S10_ses-02_task-singlephoneme_events.tsv,S10,2021,singlephoneme,single-phoneme,440,220,0
sub-S11/ses-02/eeg/sub-S11_ses-02_task-Words_events.tsv,S11,2021,Words,Words,480,240,0
sub-S11/ses-02/eeg/sub-S11_ses-02_task-phonemes_events.tsv,S11,2021,phonemes,phonemes,480,240,0
sub-S11/ses-02/eeg/sub-S11_ses-02_task-singlephoneme_events.tsv,S11,2021,singlephoneme,single-phoneme,440,220,0
sub-S12/ses-02/eeg/sub-S12_ses-02_task-Words_events.tsv,S12,2021,Words,Words,480,240,0
sub-S12/ses-02/eeg/sub-S12_ses-02_task-phonemes_events.tsv,S12,2021,phonemes,phonemes,480,240,0
sub-S12/ses-02/eeg/sub-S12_ses-02_task-singlephoneme_events.tsv,S12,2021,singlephoneme,single-phoneme,440,220,0
sub-S13/ses-02/eeg/sub-S13_ses-02_task-Words_events.tsv,S13,2021,Words,Words,480,240,0
sub-S13/ses-02/eeg/sub-S13_ses-02_task-phonemes_events.tsv,S13,2021,phonemes,phonemes,480,240,0
sub-S13/ses-02/eeg/sub-S13_ses-02_task-singlephoneme_events.tsv,S13,2021,singlephoneme,single-phoneme,330,165,0
sub-S14/ses-02/eeg/sub-S14_ses-02_task-Words_events.tsv,S14,2021,Words,Words,480,240,0
sub-S14/ses-02/eeg/sub-S14_ses-02_task-phonemes_events.tsv,S14,2021,phonemes,phonemes,480,240,0
sub-S14/ses-02/eeg/sub-S14_ses-02_task-singlephoneme_events.tsv,S14,2021,singlephoneme,single-phoneme,440,220,0
sub-S15/ses-02/eeg/sub-S15_ses-02_task-Words_events.tsv,S15,2021,Words,Words,480,240,0
sub-S15/ses-02/eeg/sub-S15_ses-02_task-phonemes_events.tsv,S15,2021,phonemes,phonemes,480,240,0
sub-S15/ses-02/eeg/sub-S15_ses-02_task-singlephoneme_events.tsv,S15,2021,singlephoneme,single-phoneme,440,220,0
sub-S16/ses-02/eeg/sub-S16_ses-02_task-Words_events.tsv,S16,2021,Words,Words,480,240,0
sub-S16/ses-02/eeg/sub-S16_ses-02_task-phonemes_events.tsv,S16,2021,phonemes,phonemes,480,240,0
sub-S16/ses-02/eeg/sub-S16_ses-02_task-singlephoneme_events.tsv,S16,2021,singlephoneme,single-phoneme,440,220,0
