subject_id,source_file,n_rows,original_columns,normalized_columns,used_correct_key_variant,has_order,has_p3_tsidx
P01,P01_Tab.csv,476,Stimulus|TMS|Correct_Key|TMStarget|Task|TrialN|Order|Phoneme1|Phoneme2|P1_TSidx|P2_TSidx|TMS_TSidx|Place|Manner|Voicing|Category,stimulus|tms|correct_key|tmstarget|task|trialn|order|phoneme1|phoneme2|p1_tsidx|p2_tsidx|tms_tsidx|place|manner|voicing|category|subject_id|study_year|session_id|source_file,Correct_Key,1,0
P02,P02_Tab.csv,479,Stimulus|TMS|Correct_Key|TMStarget|Task|TrialN|Order|Phoneme1|Phoneme2|P1_TSidx|P2_TSidx|TMS_TSidx|Place|Manner|Voicing|Category,stimulus|tms|correct_key|tmstarget|task|trialn|order|phoneme1|phoneme2|p1_tsidx|p2_tsidx|tms_tsidx|place|manner|voicing|category|subject_id|study_year|session_id|source_file,Correct_Key,1,0
P03,P03_Tab.csv,477,Stimulus|TMS|Correct_Key|TMStarget|Task|TrialN|Order|Phoneme1|Phoneme2|P1_TSidx|P2_TSidx|TMS_TSidx|Place|Manner|Voicing|Category,stimulus|tms|correct_key|tmstarget|task|trialn|order|phoneme1|phoneme2|p1_tsidx|p2_tsidx|tms_tsidx|place|manner|voicing|category|subject_id|study_year|session_id|source_file,Correct_Key,1,0
P04,P04_Tab.csv,439,Stimulus|TMS|Correct_Key|TMStarget|Task|TrialN|Order|Phoneme1|Phoneme2|P1_TSidx|P2_TSidx|TMS_TSidx|Place|Manner|Voicing|Category,stimulus|tms|correct_key|tmstarget|task|trialn|order|phoneme1|phoneme2|p1_tsidx|p2_tsidx|tms_tsidx|place|manner|voicing|category|subject_id|study_year|session_id|source_file,Correct_Key,1,0
P05,P05_Tab.csv,461,Stimulus|TMS|Correct_Key|TMStarget|Task|TrialN|Order|Phoneme1|Phoneme2|P1_TSidx|P2_TSidx|TMS_TSidx|Place|Manner|Voicing|Category,stimulus|tms|correct_key|tmstarget|task|trialn|order|phoneme1|phoneme2|p1_tsidx|p2_tsidx|tms_tsidx|place|manner|voicing|category|subject_id|study_year|session_id|source_file,Correct_Key,1,0
P06,P06_Tab.csv,474,Stimulus|TMS|Correct_Key|TMStarget|Task|TrialN|Order|Phoneme1|Phoneme2|P1_TSidx|P2_TSidx|TMS_TSidx|Place|Manner|Voicing|Category,stimulus|tms|correct_key|tmstarget|task|trialn|order|phoneme1|phoneme2|p1_tsidx|p2_tsidx|tms_tsidx|place|manner|voicing|category|subject_id|study_year|session_id|source_file,Correct_Key,1,0
P07,P07_Tab.csv,475,Stimulus|TMS|Correct_Key|TMStarget|Task|TrialN|Order|Phoneme1|Phoneme2|P1_TSidx|P2_TSidx|TMS_TSidx|Place|Manner|Voicing|Category,stimulus|tms|correct_key|tmstarget|task|trialn|order|phoneme1|phoneme2|p1_tsidx|p2_tsidx|tms_tsidx|place|manner|voicing|category|subject_id|study_year|session_id|source_file,Correct_Key,1,0
P08,P08_Tab.csv,461,Stimulus|TMS|Correct_Key|TMStarget|Task|TrialN|Order|Phoneme1|Phoneme2|P1_TSidx|P2_TSidx|TMS_TSidx|Place|Manner|Voicing|Category,stimulus|tms|correct_key|tmstarget|task|trialn|order|phoneme1|phoneme2|p1_tsidx|p2_tsidx|tms_tsidx|place|manner|voicing|category|subject_id|study_year|session_id|source_file,Correct_Key,1,0
S01,S01_Tab.csv,470,Stimulus|TMS|Correct_key|TMStarget|Task|P1_TSidx|TMS_TSidx|TrialN|Phoneme1|Phoneme2|Phoneme3|P2_TSidx|P3_TSidx|Place|Manner|Voicing|Category,stimulus|tms|correct_key|tmstarget|task|p1_tsidx|tms_tsidx|trialn|phoneme1|phoneme2|phoneme3|p2_tsidx|p3_tsidx|place|manner|voicing|category|subject_id|study_year|session_id|source_file,Correct_key,0,1
S02,S02_Tab.csv,673,Stimulus|TMS|Correct_key|TMStarget|Task|P1_TSidx|TMS_TSidx|TrialN|Phoneme1|Phoneme2|Phoneme3|P2_TSidx|P3_TSidx|Place|Manner|Voicing|Category,stimulus|tms|correct_key|tmstarget|task|p1_tsidx|tms_tsidx|trialn|phoneme1|phoneme2|phoneme3|p2_tsidx|p3_tsidx|place|manner|voicing|category|subject_id|study_year|session_id|source_file,Correct_key,0,1
S03,S03_Tab.csv,700,Stimulus|TMS|Correct_key|TMStarget|Task|P1_TSidx|TMS_TSidx|TrialN|Phoneme1|Phoneme2|Phoneme3|P2_TSidx|P3_TSidx|Place|Manner|Voicing|Category,stimulus|tms|correct_key|tmstarget|task|p1_tsidx|tms_tsidx|trialn|phoneme1|phoneme2|phoneme3|p2_tsidx|p3_tsidx|place|manner|voicing|category|subject_id|study_year|session_id|source_file,Correct_key,0,1
S04,S04_Tab.csv,700,Stimulus|TMS|Correct_key|TMStarget|Task|P1_TSidx|TMS_TSidx|TrialN|Phoneme1|Phoneme2|Phoneme3|P2_TSidx|P3_TSidx|Place|Manner|Voicing|Category,stimulus|tms|correct_key|tmstarget|task|p1_tsidx|tms_tsidx|trialn|phoneme1|phoneme2|phoneme3|p2_tsidx|p3_tsidx|place|manner|voicing|category|subject_id|study_year|session_id|source_file,Correct_key,0,1
S05,S05_Tab.csv,700,Stimulus|TMS|Correct_key|TMStarget|Task|P1_TSidx|TMS_TSidx|TrialN|Phoneme1|Phoneme2|Phoneme3|P2_TSidx|P3_TSidx|Place|Manner|Voicing|Category,stimulus|tms|correct_key|tmstarget|task|p1_tsidx|tms_tsidx|trialn|phoneme1|phoneme2|phoneme3|p2_tsidx|p3_tsidx|place|manner|voicing|category|subject_id|study_year|session_id|source_file,Correct_key,0,1
S06,S06_Tab.csv,700,Stimulus|TMS|Correct_key|TMStarget|Task|P1_TSidx|TMS_TSidx|TrialN|Phoneme1|Phoneme2|Phoneme3|P2_TSidx|P3_TSidx|Place|Manner|Voicing|Category,stimulus|tms|correct_key|tmstarget|task|p1_tsidx|tms_tsidx|trialn|phoneme1|phoneme2|phoneme3|p2_tsidx|p3_tsidx|place|manner|voicing|category|subject_id|study_year|session_id|source_file,Correct_key,0,1
S07,S07_Tab.csv,700,Stimulus|TMS|Correct_key|TMStarget|Task|P1_TSidx|TMS_TSidx|TrialN|Phoneme1|Phoneme2|Phoneme3|P2_TSidx|P3_TSidx|Place|Manner|Voicing|Category,stimulus|tms|correct_key|tmstarget|task|p1_tsidx|tms_tsidx|trialn|phoneme1|phoneme2|phoneme3|p2_tsidx|p3_tsidx|place|manner|voicing|category|subject_id|study_year|session_id|source_file,Correct_key,0,1
S08,S08_Tab.csv,700,Stimulus|TMS|Correct_key|TMStarget|Task|P1_TSidx|TMS_TSidx|TrialN|Phoneme1|Phoneme2|Phoneme3|P2_TSidx|P3_TSidx|Place|Manner|Voicing|Category,stimulus|tms|correct_key|tmstarget|task|p1_tsidx|tms_tsidx|trialn|phoneme1|phoneme2|phoneme3|p2_tsidx|p3_tsidx|place|manner|voicing|category|subject_id|study_year|session_id|source_file,Correct_key,0,1
S09,S09_Tab.csv,700,Stimulus|TMS|Correct_key|TMStarget|Task|P1_TSidx|TMS_TSidx|TrialN|Phoneme1|Phoneme2|Phoneme3|P2_TSidx|P3_TSidx|Place|Manner|Voicing|Category,stimulus|tms|correct_key|tmstarget|task|p1_tsidx|tms_tsidx|trialn|phoneme1|phoneme2|phoneme3|p2_tsidx|p3_tsidx|place|manner|voicing|category|subject_id|study_year|session_id|source_file,Correct_key,0,1
S10,S10_Tab.csv,700,Stimulus|TMS|Correct_key|TMStarget|Task|P1_TSidx|TMS_TSidx|TrialN|Phoneme1|Phoneme2|Phoneme3|P2_TSidx|P3_TSidx|Place|Manner|Voicing|Category,stimulus|tms|correct_key|tmstarget|task|p1_tsidx|tms_tsidx|trialn|phoneme1|phoneme2|phoneme3|p2_tsidx|p3_tsidx|place|manner|voicing|category|subject_id|study_year|session_id|source_file,Correct_key,0,1
S11,S11_Tab.csv,700,Stimulus|TMS|Correct_key|TMStarget|Task|P1_TSidx|TMS_TSidx|TrialN|Phoneme1|Phoneme2|Phoneme3|P2_TSidx|P3_TSidx|Place|Manner|Voicing|Category,stimulus|tms|correct_key|tmstarget|task|p1_tsidx|tms_tsidx|trialn|phoneme1|phoneme2|phoneme3|p2_tsidx|p3_tsidx|place|manner|voicing|category|subject_id|study_year|session_id|source_file,Correct_key,0,1
S12,S12_Tab.csv,700,Stimulus|TMS|Correct_key|TMStarget|Task|P1_TSidx|TMS_TSidx|TrialN|Phoneme1|Phoneme2|Phoneme3|P2_TSidx|P3_TSidx|Place|Manner|Voicing|Category,stimulus|tms|correct_key|tmstarget|task|p1_tsidx|tms_tsidx|trialn|phoneme1|phoneme2|phoneme3|p2_tsidx|p3_tsidx|place|manner|voicing|category|subject_id|study_year|session_id|source_file,Correct_key,0,1
S13,S13_Tab.csv,645,Stimulus|TMS|Correct_key|TMStarget|Task|P1_TSidx|TMS_TSidx|TrialN|Phoneme1|Phoneme2|Phoneme3|P2_TSidx|P3_TSidx|Place|Manner|Voicing|Category,stimulus|tms|correct_key|tmstarget|task|p1_tsidx|tms_tsidx|trialn|phoneme1|phoneme2|phoneme3|p2_tsidx|p3_tsidx|place|manner|voicing|category|subject_id|study_year|session_id|source_file,Correct_key,0,1
S14,S14_Tab.csv,700,Stimulus|TMS|Correct_key|TMStarget|Task|P1_TSidx|TMS_TSidx|TrialN|Phoneme1|Phoneme2|Phoneme3|P2_TSidx|P3_TSidx|Place|Manner|Voicing|Category,stimulus|tms|correct_key|tmstarget|task|p1_tsidx|tms_tsidx|trialn|phoneme1|phoneme2|phoneme3|p2_tsidx|p3_tsidx|place|manner|voicing|category|subject_id|study_year|session_id|source_file,Correct_key,0,1
S15,S15_Tab.csv,700,Stimulus|TMS|Correct_key|TMStarget|Task|P1_TSidx|TMS_TSidx|TrialN|Phoneme1|Phoneme2|Phoneme3|P2_TSidx|P3_TSidx|Place|Manner|Voicing|Category,stimulus|tms|correct_key|tmstarget|task|p1_tsidx|tms_tsidx|trialn|phoneme1|phoneme2|phoneme3|p2_tsidx|p3_tsidx|place|manner|voicing|category|subject_id|study_year|session_id|source_file,Correct_key,0,1
S16,S16_Tab.csv,700,Stimulus|TMS|Correct_key|TMStarget|Task|P1_TSidx|TMS_TSidx|TrialN|Phoneme1|Phoneme2|Phoneme3|P2_TSidx|P3_TSidx|Place|Manner|Voicing|Category,stimulus|tms|correct_key|tmstarget|task|p1_tsidx|tms_tsidx|trialn|phoneme1|phoneme2|phoneme3|p2_tsidx|p3_tsidx|place|manner|voicing|category|subject_id|study_year|session_id|source_file,Correct_key,0,1
